node,asset,venue,fee_tier,gnn_mask_sum,betweenness,propagator_label,betweenness_x_prop,norm_gnn,norm_bc,norm_bc_x_prop,hub_score_structural,hub_score_full,hub_score,rank_full,rank_structural,episode_tag,is_real,rank,ci_lo,ci_hi,ci_std
BUSD/binance,BUSD,binance,,12.254678130149841,0.07142857142857142,0,0.007142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1,1,USDC_SVB,True,1,1.0,1.0,1.0
USDC/binance,USDC,binance,,10.397929072380066,0.0,0,0.0,0.8484865095557534,0.0,0.0,0.0,0.4242432547778767,0.4242432547778767,2,5,USDC_SVB,True,2,0.4242432547778767,0.4242432547778767,0.4242432547778767
TUSD/binance,TUSD,binance,,6.451158165931702,0.0,1,0.0,0.526424121255384,0.0,0.0,0.0,0.263212060627692,0.263212060627692,3,5,USDC_SVB,True,3,0.263212060627692,0.263212060627692,0.263212060627692
USDP/binance,USDP,binance,,1.8508163690567017,0.0,1,0.0,0.15102937420308005,0.0,0.0,0.0,0.07551468710154002,0.07551468710154002,4,5,USDC_SVB,True,4,0.07551468710154002,0.07551468710154002,0.07551468710154002
DAI/coinbase,DAI,coinbase,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,USDC_SVB,True,5,0.0,0.0,0.0
FDUSD/binance,FDUSD,binance,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,USDC_SVB,True,6,0.0,0.0,0.0
FRAX/binance,FRAX,binance,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,USDC_SVB,True,7,0.0,0.0,0.0
USDT/coinbase,USDT,coinbase,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,USDC_SVB,True,8,0.0,0.0,0.0
UST/binance,UST,binance,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5,USDC_SVB,True,9,0.0,0.0,0.0
