episode,seed,src_node,dst_node,mean_attention,n_snapshots
FRAX_SVB,0,USDT/coinbase,BUSD/binance,0.4987371563911438,1
FRAX_SVB,0,BUSD/binance,USDT/coinbase,0.48788369446992874,8
USDC_SVB,0,BUSD/binance,USDT/coinbase,0.4988163684805234,24
DAI_FTX,0,BUSD/binance,USDT/coinbase,0.4733456756387438,7
USDT_May2022,0,USDC/binance,TUSD/binance,0.5253408029675484,8
USDT_May2022,0,USDC/binance,USDP/binance,0.3529805727303028,8
USDT_May2022,0,USDC/binance,BUSD/binance,0.25773706287145615,8
USDT_May2022,0,USDC/binance,USDT/coinbase,0.20168141089379787,8
USDT_May2022,0,TUSD/binance,USDP/binance,0.31874846667051315,8
USDT_May2022,0,TUSD/binance,BUSD/binance,0.23259018920361996,8
USDT_May2022,0,TUSD/binance,USDT/coinbase,0.18204107321798801,8
USDT_May2022,0,USDP/binance,BUSD/binance,0.23945381678640842,8
USDT_May2022,0,USDP/binance,USDT/coinbase,0.18725577555596828,8
USDT_May2022,0,BUSD/binance,USDT/coinbase,0.2113966941833496,8
FRAX_SVB,1,USDT/coinbase,BUSD/binance,0.49551838636398315,1
FRAX_SVB,1,BUSD/binance,USDT/coinbase,0.5111663714051247,8
USDC_SVB,1,BUSD/binance,USDT/coinbase,0.5155630471805731,24
DAI_FTX,1,BUSD/binance,USDT/coinbase,0.5013718775340489,7
USDT_May2022,1,USDC/binance,TUSD/binance,0.5039105489850044,8
USDT_May2022,1,USDC/binance,USDP/binance,0.3369460701942444,8
USDT_May2022,1,USDC/binance,BUSD/binance,0.25272632390260696,8
USDT_May2022,1,USDC/binance,USDT/coinbase,0.20221137255430222,8
USDT_May2022,1,TUSD/binance,USDP/binance,0.33169811218976974,8
USDT_May2022,1,TUSD/binance,BUSD/binance,0.24875792302191257,8
USDT_May2022,1,TUSD/binance,USDT/coinbase,0.19905854389071465,8
USDT_May2022,1,USDP/binance,BUSD/binance,0.24852318316698074,8
USDT_May2022,1,USDP/binance,USDT/coinbase,0.19884738139808178,8
USDT_May2022,1,BUSD/binance,USDT/coinbase,0.20004659704864025,8
FRAX_SVB,2,USDT/coinbase,BUSD/binance,0.49313968420028687,1
FRAX_SVB,2,BUSD/binance,USDT/coinbase,0.46942705661058426,8
USDC_SVB,2,BUSD/binance,USDT/coinbase,0.44641807054479915,24
DAI_FTX,2,BUSD/binance,USDT/coinbase,0.42144099303654264,7
USDT_May2022,2,USDC/binance,TUSD/binance,0.5027964562177658,8
USDT_May2022,2,USDC/binance,USDP/binance,0.33062879368662834,8
USDT_May2022,2,USDC/binance,BUSD/binance,0.2459823191165924,8
USDT_May2022,2,USDC/binance,USDT/coinbase,0.19579732045531273,8
USDT_May2022,2,TUSD/binance,USDP/binance,0.3268314301967621,8
USDT_May2022,2,TUSD/binance,BUSD/binance,0.24296455457806587,8
USDT_May2022,2,TUSD/binance,USDT/coinbase,0.19353137537837029,8
USDT_May2022,2,USDP/binance,BUSD/binance,0.2548118606209755,8
USDT_May2022,2,USDP/binance,USDT/coinbase,0.20283494889736176,8
USDT_May2022,2,BUSD/binance,USDT/coinbase,0.20412720181047916,8
